Filename,t1,t1_error,A,A_error,Fixed_y0,R_squared,Iterations,Time_min,Time_max
ZE15_1000_Ag_dis.csv,91.0479044033854,1.47453892003251,0.0241060578384268,2851.59545385454,0,0.931782098768868,5.0,0.5263157894736842,58.10526315789474
ZE15_1000_dis.csv,721.920023397046,21.2440027160697,0.020745339258872,-1.23456789e-300,0,0.683272770297435,8.0,10.0,119.0
ZE15_250_Ag_dis.csv,462.129028370879,12.2401556581158,0.0160740182953273,-1.23456789e-300,0,0.7045777184200879,7.0,0.0,119.0
ZE15_500_Ag_dis.csv,257.34408378454,7.0395390097879,0.0214354177458126,-1.23456789e-300,0,0.7995516404826832,5.0,0.0,67.47368421052632
ZE16_1000_Ag_dis.csv,335.184080324627,6.77099610165543,0.0297558081641441,1117.65588238785,0,0.8794411838195814,6.0,0.0,67.47368421052632
ZE16_1000_dis.csv,642.106473483774,18.4348623419483,0.0217983454384597,1443.30021379058,0,0.7182682022578171,7.0,0.0,95.57894736842105
ZE16_250_Ag_dis.csv,158008260642.798,7.69119478404912e+18,0.0290933551489626,-1.23456789e-300,0,0.0,32.0,0.0,30.0
ZE16_500_Ag_dis.csv,495.321266068193,18.6775264121817,0.0189963306835912,-1.23456789e-300,0,0.647672432730584,7.0,0.0,76.84210526315789
ZE17_1000_Ag_dis.csv,822.372249736291,21.9157741308302,0.032229388608365,2180.13875312792,0,0.7475753563440826,12.0,0.0,95.57894736842105
ZE17_1000_dis.csv,590.460992152265,11.6456958019979,0.0381490960261414,1119.85262321547,0,0.843836690851377,6.0,0.0,95.57894736842105
ZE17_250_Ag_dis.csv,530.0278796796,12.9266280384473,0.0193807203023664,-1.23456789e-300,0,0.7786836269902875,8.0,0.0,95.57894736842105
ZE17_500_Ag_dis.csv,457.717486770194,14.5541536966248,0.0288877736241256,1518.99980306388,0,0.7525224834730057,7.0,2.1052631578947367,67.47368421052632
ZE18_1000_Ag_dis.csv,126.453821293788,3.53837534260989,0.0350400927910898,2934.10987979029,0,0.9046071295083505,6.0,2.631578947368421,30.0
ZE18_1000_dis.csv,320.165183512667,5.27289342449599,0.0361978517877585,-1.23456789e-300,0,0.8961306971963313,5.0,0.5263157894736842,86.21052631578948
ZE18_250_Ag_dis.csv,188.678575407953,9.57848790182723,0.025994499680928,-1.23456789e-300,0,0.7207342991463143,7.0,0.0,30.0
ZE18_500_Ag_dis.csv,120.405952005107,0.0,0.0408901134976566,-1.23456789e-300,0,0.8676282462897142,6.0,0.0,30.0
ZE19_1000_Ag_dis.csv,159.845618040569,3.0209093795038,0.061662196367202,3317.72097282673,0,0.952341064395991,5.0,1.5789473684210527,30.0
ZE19_1000_dis.csv,212.741573244256,2.85524331024618,0.0510193522388841,1597.54652813793,0,0.9506946793067992,6.0,0.0,58.10526315789474
ZE19_250_Ag_dis.csv,102.440907860419,3.03529792633239,0.0233613142078684,2484.79807197143,0,0.8869217545219893,6.0,0.5263157894736842,30.0
ZE19_500_Ag_dis.csv,158.677201078833,2.52673383334029,0.0448837720793459,2625.31989508242,0,0.9501576400200631,5.0,2.1052631578947367,44.05263157894737
ZE20_1000_Ag_dis.csv,203.797753487913,2.42104403262198,0.058233530837582,-1.23456789e-300,0,0.9600101536008339,5.0,7.894736842105263,67.47368421052632
ZE20_1000_dis.csv,132.637994811108,1.59935820428468,0.053408745691585,1519.54883748426,0,0.9641451005334996,5.0,1.5789473684210527,53.421052631578945
ZE20_250_Ag_dis.csv,167.383786584994,2.64675255886201,0.03992618254618,2213.87953435956,0,0.9402779395244248,5.0,2.1052631578947367,53.421052631578945
ZE20_500_Ag_dis.csv,103.987370663383,2.08294106980652,0.0365201717880683,-1.23456789e-300,0,0.9449870148519444,7.0,0.5263157894736842,30.0
ZE21_1000_Ag_dis.csv,100.4817928938,1.50548042317649,0.0411732328922533,-1.23456789e-300,0,0.9538122625838316,5.0,4.7368421052631575,48.73684210526316
ZE21_1000_dis.csv,64.585895886993,1.03027934738568,0.0294508777932224,2766.62870786769,0,0.9496030738407626,5.0,0.5263157894736842,44.05263157894737
ZE21_250_Ag_dis.csv,143.445242155311,2.44914757235299,0.0273397805771264,1287.99184668721,0,0.9176934149627535,5.0,5.263157894736842,67.47368421052632
ZE21_500_Ag_dis.csv,152.903465007151,3.41277543859128,0.0317660366960776,2069.4118422863,0,0.88731801124333,6.0,2.1052631578947367,53.421052631578945
ZE22_1000_Ag_dis.csv,157.254329564749,3.64169551158076,0.0447146943153092,-1.23456789e-300,0,0.9278497849415699,6.0,0.5263157894736842,30.0
ZE22_1000_dis.csv,156.01924829862,2.39969485351053,0.0521645545894289,3856.66328197447,0,0.9610795157884697,6.0,0.0,34.68421052631579
ZE22_250_Ag_dis.csv,546.728539361819,72.8634612549392,0.0392425501188298,2983.53686060288,0,0.27367188538761716,6.0,0.0,30.0
ZE22_500_Ag_dis.csv,148.552703979649,4.45501567559406,0.0358498158351679,-1.23456789e-300,0,0.884608198842453,5.0,0.5263157894736842,30.0
ZE23_1000_Ag_dis.csv,338.558556145718,8.47983310636014,0.0309695044351466,1496.26689110008,0,0.8581688649880437,7.0,0.5263157894736842,53.421052631578945
ZE23_1000_dis.csv,388.19621168487,6.06270895758447,0.042178101296637,3101.06033508224,0,0.9006028115955795,5.0,0.0,90.89473684210526
ZE23_250_Ag_dis.csv,346.366727860956,15.7985850441059,0.0290982938639801,-1.23456789e-300,0,0.7114516044637573,6.0,0.0,39.368421052631575
ZE23_500_Ag_dis.csv,176.542949143821,6.09774381798311,0.038225828157676,1935.85368935329,0,0.8292675193752719,5.0,0.0,34.68421052631579
ZE24_1000_Ag_dis.csv,350.476132247359,37.6079265341556,0.0265568021263581,2222.69857258811,0,0.3650291833547358,7.0,0.0,30.0
ZE24_1000_dis.csv,652.764326766264,45.5906299083792,0.0249888578352609,2382.82015256353,0,0.44165457009336334,16.0,1.0526315789473684,53.421052631578945
ZE24_250_Ag_dis.csv,150.756182251955,10.2058113493184,0.0277808211877941,-1.23456789e-300,0,0.5881096277250281,8.0,0.0,30.0
ZE24_500_Ag_dis.csv,139.843841355633,5.72938136120352,0.0339455420730304,2771.79761539026,0,0.7980403511905351,6.0,0.0,30.0
ZE25_1000_Ag_dis.csv,3275394760005330.0,2.08214611385428e+26,0.0444273055521162,884.147741663829,0,6.856737400084966e-13,34.0,1.5789473684210527,48.73684210526316
ZE25_1000_dis.csv,489.879572703107,88.278018969785,0.0208564230036855,5271.7635610224,0,0.16943670866189342,6.0,0.0,30.0
ZE25_250_Ag_dis.csv,195.56415588054,14.5224828680611,0.0206015848006855,-1.23456789e-300,0,0.5453737993057952,7.0,0.0,30.0
ZE25_500_Ag_dis.csv,107.051340609312,7.53617497014918,0.0154587418465486,2335.61567875807,0,0.5703055332412218,7.0,0.0,30.0
ZE26_1000_Ag_dis.csv,529.263879771774,78.6269366279079,0.0203716732625222,1366.56899821061,0,0.2328966158831076,14.0,0.0,30.0
ZE26_1000_dis.csv,122.474314071038,5.71365809106892,0.0171216558458992,3196.17669571835,0,0.7251037680528439,6.0,0.0,34.68421052631579
ZE26_250_Ag_dis.csv,302.678636292991,24.3770241245821,0.0228990735851048,2624.10527390667,0,0.5073253317250147,7.0,0.0,30.0
ZE26_500_Ag_dis.csv,755.582392686615,66.8739382741609,0.024804112449759,-1.23456789e-300,0,0.3058018517899433,7.0,0.0,58.10526315789474
