Filename,t1,t1_error,A,A_error,y0,y0_error,R_squared,Iterations,Time_min,Time_max
ZE15_1000_Ag_as.csv,43.2994244076979,1.03126787970933,-0.0363816651980534,-1.23456789e-300,0.0332134126014086,0.00030422305206482403,0.9801961489307747,6.0,0,100.7157894736842
ZE15_1000_as.csv,14.2035768809243,0.348587395045989,-0.0347362342625209,-1.23456789e-300,0.0360649840368017,0.00022851248302126401,0.9825937972584052,6.0,0,48.78421052631579
ZE15_250_Ag_as.csv,21.9919576063276,0.465459310947383,-0.0300938851638656,-1.23456789e-300,0.0294786816927216,0.000183951380538796,0.9816889592742054,5.0,0,72.38947368421051
ZE15_500_Ag_as.csv,26.7284307595325,0.72008630466457,-0.0269487568831933,3705.24627038406,0.026195093995523,0.00024250129908887698,0.9772859648392453,5.0,0,72.38947368421051
ZE16_1000_Ag_as.csv,39.8743499103689,0.74761135346737,-0.0497147593716069,-1.23456789e-300,0.0497821307201351,0.000354295423654576,0.9904704001377929,5.0,0,86.55263157894737
ZE16_1000_as.csv,49.9624725595114,1.21042200905236,-0.0422969545407578,-1.23456789e-300,0.0425089107993535,0.00044641000387461895,0.9874120539064364,4.0,0,91.27368421052631
ZE16_250_Ag_as.csv,56.6337930116795,1.42613594782343,-0.0315350012115916,2224.52249710084,0.0307332729439557,0.00030220594572634603,0.977454519627088,5.0,0,119.6
ZE16_500_Ag_as.csv,61.3119678061552,1.70010534565633,-0.0397505253446081,-1.23456789e-300,0.0445261325144595,0.00043428458445915404,0.9760594591025678,6.0,0,119.6
ZE17_1000_Ag_as.csv,53.1538879990515,0.856133828415163,-0.0667854570463237,-1.23456789e-300,0.0681082961157422,0.000437126115336725,0.9925621067970744,4.0,0,105.43684210526314
ZE17_1000_as.csv,60.6689887852909,0.806288971986487,-0.0684981165598065,7295.31567232312,0.0704376947693467,0.000368467090134245,0.9942980166288993,5.0,0,119.6
ZE17_250_Ag_as.csv,40.4496714463513,0.828136067919782,-0.0414439204498174,-1.23456789e-300,0.0471772242363242,0.000230187691121029,0.9753476020795729,6.0,0,119.6
ZE17_500_Ag_as.csv,73.5793188322348,1.5365391891557,-0.0682700134191577,7098.56708171786,0.0711871876266767,0.000652010660168252,0.9899452188641751,5.0,0,119.6
ZE18_1000_Ag_as.csv,25.3364821351039,0.388346479894807,-0.0636271615479937,6145.68983597014,0.0650801752978429,0.000310756151305421,0.9931304248557984,5.0,0,67.66842105263157
ZE18_1000_as.csv,54.6725524865488,0.871669582891826,-0.0576583014058717,2273.79507657481,0.0571887983108453,0.00034803017992978005,0.9903064427842818,5.0,0,119.6
ZE18_250_Ag_as.csv,11.4483724630114,0.439220614237382,-0.0319780012278588,-1.23456789e-300,0.032858403017798,0.000432466142687312,0.9820153082733908,5.0,0,29.9
ZE18_500_Ag_as.csv,20.2725666375967,0.510931121754344,-0.0507881561242471,6023.58765053727,0.0515352185289733,0.000470299071164722,0.9886924735107151,6.0,0,48.78421052631579
ZE19_1000_Ag_as.csv,80.8275683109263,1.02995009275558,-0.128033952317993,1871.55082377418,0.129672447364475,0.0008649649284050631,0.9974813396718696,5.0,0,110.15789473684208
ZE19_1000_as.csv,93.7226653517171,1.93890798787757,-0.0882946046440254,1780.97904762326,0.0970856192357216,0.000995881756655394,0.9936128718167443,6.0,0,119.6
ZE19_250_Ag_as.csv,65.5960148550795,1.80870476106339,-0.0457294334320914,2888.06486054379,0.0509108068445359,0.000560363272338401,0.9810235433949455,7.0,0,114.87894736842105
ZE19_500_Ag_as.csv,80.7165981123654,1.85901583744709,-0.0808654405359906,-1.23456789e-300,0.0839117991330471,0.000917513818014192,0.9907549782888706,4.0,0,114.87894736842105
ZE20_1000_Ag_as.csv,16.1009540524228,0.310855695756,-0.0655906010766993,6808.88986861094,0.0693491157340105,0.000503923543053438,0.9960052284171881,5.0,0,34.62105263157895
ZE20_1000_as.csv,17.2391162198403,0.285717983527161,-0.0628937034853846,-1.23456789e-300,0.0650807893755837,0.00032974226562076605,0.993761878770569,4.0,0,48.78421052631579
ZE20_250_Ag_as.csv,43.8529657550591,0.593203076645919,-0.0602520777238232,-1.23456789e-300,0.0639906274668035,0.00025066419516293,0.9902378120813944,5.0,0,119.6
ZE20_500_Ag_as.csv,16.9788282344626,0.439286881256462,-0.0487124009804921,-1.23456789e-300,0.0503520360069231,0.000544367817342384,0.993438381019779,5.0,0,34.62105263157895
ZE21_1000_Ag_as.csv,20.000035301399,0.465179892051202,-0.0465955619969956,-1.23456789e-300,0.0479275341839184,0.000332278583752327,0.9875772399014768,5.0,0,53.50526315789473
ZE21_1000_as.csv,23.012906874066,0.636387542160511,-0.0319936326559573,-1.23456789e-300,0.0308582471307671,0.000302803769283184,0.9824139739090809,4.0,0,58.22631578947368
ZE21_250_Ag_as.csv,19.911906843386,0.58599367299068,-0.0362518459947511,-1.23456789e-300,0.0374856705517817,0.000243769452633178,0.9660217804924981,6.0,0,67.66842105263157
ZE21_500_Ag_as.csv,20.2057376635921,0.536085954988997,-0.0420336862382366,17179.4232812951,0.0425938409302272,0.000315845813740016,0.9805173645171097,6.0,0,58.22631578947368
ZE22_1000_Ag_as.csv,47.1037669742543,0.650340503252735,-0.0741061813452435,9470.03819979951,0.0780362026537477,0.00034248317217699904,0.9908351502963618,6.0,0,119.6
ZE22_1000_as.csv,57.564524221817,0.730696141342121,-0.0924305016894114,-1.23456789e-300,0.0924145248957383,0.00047909078542202293,0.9954553678684122,5.0,0,110.15789473684208
ZE22_250_Ag_as.csv,40.4293761854629,0.74216576271836,-0.0570692641157974,5209.24390824217,0.05684855160247,0.000379248408818815,0.9897227701130541,5.0,0,91.27368421052631
ZE22_500_Ag_as.csv,49.0210422692243,0.824844673592114,-0.0612164244797757,4969.65277495698,0.0653614358991009,0.00034239811750381,0.9872300590048164,5.0,0,119.6
ZE23_1000_Ag_as.csv,41.4838813740048,0.763751330209784,-0.0594521668296456,3970.47590764618,0.0633805017974456,0.000367767510057789,0.9887416710976689,6.0,0,95.99473684210525
ZE23_1000_as.csv,37.6743068756252,0.682717088944473,-0.0562457789544834,-1.23456789e-300,0.0556294109922104,0.00036725962640781395,0.9902579333109954,5.0,0,86.55263157894737
